Modelo,Accuracy,Precision,Recall,F1,AUC
Logistic Regression 10k,0.9940552766776817,0.8936627282491945,0.5777777777777777,0.7018135807676086,0.9914351497208722
Logistic Regression 10k Dist,0.9945345542298346,0.9211087420042644,0.6,0.7266610597140454,0.9931574918124723
Ensemble 2k,0.9962330466076399,0.9232081911262798,0.7513888888888889,0.8284839203675345,0.9977616757975452
Ensemble 2k Dist,0.9964180309260147,0.9246231155778895,0.7666666666666667,0.8382687927107062,0.997865332073641
Ensemble 5k,0.9962666801200717,0.9227504244482173,0.7548611111111111,0.8304048892284186,0.99776523405028
Ensemble 5k Dist,0.9964264393041227,0.9289940828402367,0.7631944444444444,0.8379717880289744,0.9978360799261585
Ensemble 10k,0.9963087220106114,0.9216512215669755,0.7597222222222222,0.8328892272554245,0.9978266464189083
Ensemble 10k Dist,0.996367580657367,0.9207011686143572,0.7659722222222223,0.8362395754359363,0.9978930592556656
Ensemble 2 2k,0.9963928057916909,0.9079903147699758,0.78125,0.8398656215005599,0.9981170666331883
Ensemble 2 2k Dist,0.9965777901100656,0.9070133963750985,0.7993055555555556,0.8497600590623846,0.9981812422628691
Ensemble 2 5k,0.9964600728165545,0.9138911454102355,0.78125,0.8423811306626732,0.9981196525726758
Ensemble 2 5k Dist,0.9966030152443895,0.9157303370786517,0.7923611111111111,0.849590469099032,0.9981625466592144
Ensemble 2 10k,0.9964768895727704,0.9061256961018298,0.7909722222222222,0.8446421950315165,0.9981202909303093
Ensemble 2 10k Dist,0.996510523085202,0.9077167859984089,0.7923611111111111,0.8461253244345569,0.9981638883923885
Random Forest No clustering - GS,0.9958462612146743,0.9315693430656934,0.7090277777777778,0.805205047318612,0.9976355735666979
Random Forest 2k - GS,0.99557719311522,0.925512104283054,0.6902777777777778,0.7907716785998409,0.9975041812424992
Random Forest 2k Dist - GS,0.9964096225479068,0.9175597691673537,0.7729166666666667,0.8390501319261213,0.9979532510608558
Random Forest 5k - GS,0.9958798947271061,0.9318181818181818,0.7118055555555556,0.8070866141732284,0.9976856639534103
Random Forest 5k Dist - GS,0.9963507639011511,0.9102773246329527,0.775,0.8372093023255814,0.9979915466081458
XGBoost No clustering - GS,0.9954762925779247,0.9688149688149689,0.6472222222222223,0.7760199833472107,0.9981405380976565
XGBoost 2k - GS,0.9954762925779247,0.9688149688149689,0.6472222222222223,0.7760199833472107,0.9981405380976565
XGBoost 2k Dist - GS,0.994946564757124,0.9687150837988827,0.6020833333333333,0.7426124197002142,0.997455810874966
XGBoost 5k - GS,0.9954762925779247,0.9688149688149689,0.6472222222222223,0.7760199833472107,0.9981405380976565
XGBoost 5k Dist - GS,0.9950558736725273,0.9701986754966887,0.6104166666666667,0.7493606138107417,0.9976130596386801
KNN No clustering - GS,0.995888303105214,0.8881632653061224,0.7555555555555555,0.8165103189493433,0.9557105877997089
KNN 2k - GS,0.995888303105214,0.8881632653061224,0.7555555555555555,0.8165103189493433,0.9557105877997089
KNN 2k Dist - GS,0.9959135282395378,0.8922697368421053,0.7534722222222222,0.8170180722891566,0.955732040753697
KNN 5k - GS,0.995888303105214,0.8881632653061224,0.7555555555555555,0.8165103189493433,0.9557105877997089
KNN 5k Dist - GS,0.9960396539111571,0.8994229183841714,0.7576388888888889,0.8224651338107802,0.954732269262087
AdaBoost No clustering - GS,0.9951483658317147,0.8768558951965065,0.6972222222222222,0.77678916827853,0.9965417034313376
AdaBoost 2k - GS,0.9951483658317147,0.8768558951965065,0.6972222222222222,0.77678916827853,0.9965417034313376
AdaBoost 2k Dist - GS,0.9942318526179486,0.8762475049900199,0.6097222222222223,0.719082719082719,0.9924412781905824
AdaBoost 5k - GS,0.9951483658317147,0.8768558951965065,0.6972222222222222,0.77678916827853,0.9965417034313376
AdaBoost 5k Dist - GS,0.9942318526179486,0.8762475049900199,0.6097222222222223,0.719082719082719,0.9924343212745212
Gradient Boosting No clustering - GS,0.9957033187868392,0.9687184661957619,0.6666666666666666,0.7897984368572604,0.9973471807289761
Gradient Boosting 2k - GS,0.9957033187868392,0.9687184661957619,0.6666666666666666,0.7897984368572604,0.997345904013709
Gradient Boosting 2k Dist - GS,0.9956696852744075,0.9611166500498505,0.6694444444444444,0.7891936144085141,0.9971458320920825
Gradient Boosting 5k - GS,0.9956949104087313,0.9686868686868687,0.6659722222222222,0.7893004115226337,0.9973461877282128
Gradient Boosting 5k Dist - GS,0.9954847009560326,0.9659442724458205,0.65,0.7770859277708593,0.9973102357809384
Logistic Regression No clustering - GS,0.9939375593841704,0.892896174863388,0.5673611111111111,0.6938428874734607,0.9917316136451545
Logistic Regression 2k - GS,0.9939123342498466,0.8816631130063965,0.5743055555555555,0.695542472666106,0.9917633542052636
Logistic Regression 2k Dist - GS,0.9941225437025453,0.8912354804646251,0.5861111111111111,0.7071638039379975,0.9914937604087759
Logistic Regression 5k - GS,0.9937693918220114,0.856996935648621,0.5826388888888889,0.6936750723439438,0.9918489059495876
Logistic Regression 5k Dist - GS,0.9940468682995737,0.9057649667405765,0.5673611111111111,0.6976942783945346,0.9914951139633876
Ensemble No clustering - GS,0.9962330466076399,0.9224872231686542,0.7520833333333333,0.8286151491966335,0.9977064401300926
Ensemble 2k - GS,0.9962330466076399,0.9232081911262798,0.7513888888888889,0.8284839203675345,0.9977616757975452
Ensemble 2k Dist - GS,0.9964180309260147,0.9246231155778895,0.7666666666666667,0.8382687927107062,0.997865332073641
Ensemble 5k - GS,0.9962666801200717,0.9227504244482173,0.7548611111111111,0.8304048892284186,0.99776523405028
Ensemble 5k Dist - GS,0.9964264393041227,0.9289940828402367,0.7631944444444444,0.8379717880289744,0.9978360799261585
Ensemble 2 No clustering - GS,0.9964432560603386,0.9117408906882591,0.7819444444444444,0.8418691588785047,0.9980275162875768
Ensemble 2 2k - GS,0.9963928057916909,0.9079903147699758,0.78125,0.8398656215005599,0.9981170666331883
Ensemble 2 2k Dist - GS,0.9965777901100656,0.9070133963750985,0.7993055555555556,0.8497600590623846,0.9981812422628691
Ensemble 2 5k - GS,0.9964600728165545,0.9138911454102355,0.78125,0.8423811306626732,0.9981196525726758
Ensemble 2 5k Dist - GS,0.9966030152443895,0.9157303370786517,0.7923611111111111,0.849590469099032,0.9981625466592144
